horizon,impulse,response,irf_value
0,WTI CRUDE,WTI CRUDE,1.0
0,WTI CRUDE,NATURAL GAS,0.0
0,WTI CRUDE,GOLD,0.0
0,WTI CRUDE,CORN,0.0
0,WTI CRUDE,WHEAT,0.0
0,WTI CRUDE,SOYBEANS,0.0
0,WTI CRUDE,COPPER,0.0
0,WTI CRUDE,SILVER,0.0
1,WTI CRUDE,WTI CRUDE,-0.06043121796523537
1,WTI CRUDE,NATURAL GAS,-0.05216283072224278
1,WTI CRUDE,GOLD,0.0012493483747342353
1,WTI CRUDE,CORN,-0.010971809343385628
1,WTI CRUDE,WHEAT,-0.014186073505678073
1,WTI CRUDE,SOYBEANS,-0.007962533894527878
1,WTI CRUDE,COPPER,-0.005187617042395176
1,WTI CRUDE,SILVER,0.01995566516354621
2,WTI CRUDE,WTI CRUDE,-0.05592502300208183
2,WTI CRUDE,NATURAL GAS,0.030922632479293565
2,WTI CRUDE,GOLD,-0.0031150439217455476
2,WTI CRUDE,CORN,0.009350021170008731
2,WTI CRUDE,WHEAT,0.002973564660924679
2,WTI CRUDE,SOYBEANS,-0.008187495351264356
2,WTI CRUDE,COPPER,0.003292456008208245
2,WTI CRUDE,SILVER,-0.018352895062655965
3,WTI CRUDE,WTI CRUDE,-0.02151817310889278
3,WTI CRUDE,NATURAL GAS,0.02020878490847722
3,WTI CRUDE,GOLD,-0.0016055131601162556
3,WTI CRUDE,CORN,0.002406418663347945
3,WTI CRUDE,WHEAT,0.0002782008551264355
3,WTI CRUDE,SOYBEANS,0.001957716368302368
3,WTI CRUDE,COPPER,0.015146107745594422
3,WTI CRUDE,SILVER,0.0016789110181772819
4,WTI CRUDE,WTI CRUDE,0.004788884307538531
4,WTI CRUDE,NATURAL GAS,-0.0010600414263185866
4,WTI CRUDE,GOLD,0.00022085364103419276
4,WTI CRUDE,CORN,-0.0005638863088967853
4,WTI CRUDE,WHEAT,0.0004043411343749865
4,WTI CRUDE,SOYBEANS,0.0008039045876754024
4,WTI CRUDE,COPPER,-0.002170988407384341
4,WTI CRUDE,SILVER,-0.00026911521215528607
5,WTI CRUDE,WTI CRUDE,0.003053303982436801
5,WTI CRUDE,NATURAL GAS,-0.003038065829892169
5,WTI CRUDE,GOLD,-0.00012517045779427335
5,WTI CRUDE,CORN,-0.00017903913168498364
5,WTI CRUDE,WHEAT,0.00021296807804171327
5,WTI CRUDE,SOYBEANS,0.0008694615126199106
5,WTI CRUDE,COPPER,-0.0011538297505618216
5,WTI CRUDE,SILVER,0.00031279693532290697
6,WTI CRUDE,WTI CRUDE,-3.58308862707973e-05
6,WTI CRUDE,NATURAL GAS,-0.0005385613858301341
6,WTI CRUDE,GOLD,-0.00017650721941997368
6,WTI CRUDE,CORN,-0.00019302104767814743
6,WTI CRUDE,WHEAT,-8.044546222265541e-05
6,WTI CRUDE,SOYBEANS,-0.0006161155236329803
6,WTI CRUDE,COPPER,-0.0005090715261058138
6,WTI CRUDE,SILVER,-0.0003000496079527698
7,WTI CRUDE,WTI CRUDE,-0.0002673230928519673
7,WTI CRUDE,NATURAL GAS,0.00022772407003264549
7,WTI CRUDE,GOLD,2.6485991580100962e-05
7,WTI CRUDE,CORN,3.902410988922147e-05
7,WTI CRUDE,WHEAT,-2.4539778648088572e-05
7,WTI CRUDE,SOYBEANS,-4.0813675111868295e-05
7,WTI CRUDE,COPPER,0.00017409536063814422
7,WTI CRUDE,SILVER,-4.512442582916954e-06
8,WTI CRUDE,WTI CRUDE,-7.693188596442015e-05
8,WTI CRUDE,NATURAL GAS,0.0001209733255584032
8,WTI CRUDE,GOLD,3.1467758694814834e-05
8,WTI CRUDE,CORN,1.1878716498536538e-05
8,WTI CRUDE,WHEAT,-8.879207607112498e-06
8,WTI CRUDE,SOYBEANS,6.5579894227905635e-06
8,WTI CRUDE,COPPER,7.298855175623655e-05
8,WTI CRUDE,SILVER,2.5450260952459774e-05
9,WTI CRUDE,WTI CRUDE,1.9602244157254825e-05
9,WTI CRUDE,NATURAL GAS,1.786151884871139e-05
9,WTI CRUDE,GOLD,-2.7208386003293032e-06
9,WTI CRUDE,CORN,-2.7879058382503696e-06
9,WTI CRUDE,WHEAT,5.575799648844147e-07
9,WTI CRUDE,SOYBEANS,1.1333315074080664e-05
9,WTI CRUDE,COPPER,-1.1384897530100183e-05
9,WTI CRUDE,SILVER,-1.132239269495382e-05
10,WTI CRUDE,WTI CRUDE,1.1335453475638634e-05
10,WTI CRUDE,NATURAL GAS,-1.857672523508264e-05
10,WTI CRUDE,GOLD,-2.148158354839811e-06
10,WTI CRUDE,CORN,-2.512678260741359e-07
10,WTI CRUDE,WHEAT,3.416964958609927e-06
10,WTI CRUDE,SOYBEANS,2.9752733565344384e-06
10,WTI CRUDE,COPPER,-6.39226296467281e-06
10,WTI CRUDE,SILVER,1.997832382322943e-06
11,WTI CRUDE,WTI CRUDE,-3.212469329712857e-07
11,WTI CRUDE,NATURAL GAS,-3.8869393776117255e-06
11,WTI CRUDE,GOLD,-5.884434602119939e-07
11,WTI CRUDE,CORN,6.164380998821814e-07
11,WTI CRUDE,WHEAT,6.316712057670889e-07
11,WTI CRUDE,SOYBEANS,-7.946092987959976e-08
11,WTI CRUDE,COPPER,-1.0197931978139135e-06
11,WTI CRUDE,SILVER,-7.391150754203051e-08
12,WTI CRUDE,WTI CRUDE,-5.038521932994634e-07
12,WTI CRUDE,NATURAL GAS,5.61081333633598e-07
12,WTI CRUDE,GOLD,1.4010614421897376e-07
12,WTI CRUDE,CORN,-3.1288505646844893e-07
12,WTI CRUDE,WHEAT,-3.217906530884816e-07
12,WTI CRUDE,SOYBEANS,-5.91446103121321e-07
12,WTI CRUDE,COPPER,7.114258409865587e-07
12,WTI CRUDE,SILVER,1.4013151467923949e-08
13,WTI CRUDE,WTI CRUDE,-3.170272056818352e-07
13,WTI CRUDE,NATURAL GAS,7.622449097218174e-07
13,WTI CRUDE,GOLD,1.2687295185437292e-07
13,WTI CRUDE,CORN,3.161858407924541e-08
13,WTI CRUDE,WHEAT,-1.3200219281823052e-07
13,WTI CRUDE,SOYBEANS,-1.852485887106976e-08
13,WTI CRUDE,COPPER,2.4944346064126926e-07
13,WTI CRUDE,SILVER,6.180703735832304e-08
14,WTI CRUDE,WTI CRUDE,3.5318582080615295e-08
14,WTI CRUDE,NATURAL GAS,2.264616141535161e-08
14,WTI CRUDE,GOLD,1.260243200261458e-08
14,WTI CRUDE,CORN,3.159536382183069e-08
14,WTI CRUDE,WHEAT,-2.8345450112794902e-09
14,WTI CRUDE,SOYBEANS,4.729671293611775e-08
14,WTI CRUDE,COPPER,-2.5000984488412477e-08
14,WTI CRUDE,SILVER,5.232930134787872e-10
15,WTI CRUDE,WTI CRUDE,2.8865289044931865e-08
15,WTI CRUDE,NATURAL GAS,-3.5322448188280145e-08
15,WTI CRUDE,GOLD,-1.104642679932127e-08
15,WTI CRUDE,CORN,3.8866043972857424e-09
15,WTI CRUDE,WHEAT,2.0882031589004253e-08
15,WTI CRUDE,SOYBEANS,1.3554282034062696e-08
15,WTI CRUDE,COPPER,-1.65412072189387e-08
15,WTI CRUDE,SILVER,2.9116995002116524e-09
16,WTI CRUDE,WTI CRUDE,3.882371229040853e-09
16,WTI CRUDE,NATURAL GAS,-2.4536878803348392e-08
16,WTI CRUDE,GOLD,-4.5327089622225355e-09
16,WTI CRUDE,CORN,-4.498558222818247e-09
16,WTI CRUDE,WHEAT,2.319625542575858e-09
16,WTI CRUDE,SOYBEANS,-4.1460941492296845e-09
16,WTI CRUDE,COPPER,-8.647631595570086e-09
16,WTI CRUDE,SILVER,-1.7168503220566282e-09
17,WTI CRUDE,WTI CRUDE,-2.206422118718896e-09
17,WTI CRUDE,NATURAL GAS,-3.1179968738242476e-10
17,WTI CRUDE,GOLD,2.0797087374812535e-10
17,WTI CRUDE,CORN,-2.9110041720973675e-10
17,WTI CRUDE,WHEAT,-5.186120869193904e-10
17,WTI CRUDE,SOYBEANS,-3.797690132001245e-10
17,WTI CRUDE,COPPER,2.061439418950351e-09
17,WTI CRUDE,SILVER,-3.8146581839579565e-13
18,WTI CRUDE,WTI CRUDE,-7.620896284655913e-10
18,WTI CRUDE,NATURAL GAS,2.6973555748764086e-09
18,WTI CRUDE,GOLD,4.4052624512262327e-10
18,WTI CRUDE,CORN,-8.347776664737757e-12
18,WTI CRUDE,WHEAT,-8.99823993548488e-10
18,WTI CRUDE,SOYBEANS,-7.036205321330784e-10
18,WTI CRUDE,COPPER,4.615856073144393e-10
18,WTI CRUDE,SILVER,-1.6404442318259227e-10
19,WTI CRUDE,WTI CRUDE,-1.5014397903485187e-11
19,WTI CRUDE,NATURAL GAS,7.153524707307285e-10
19,WTI CRUDE,GOLD,1.0393313233804361e-10
19,WTI CRUDE,CORN,9.695427769566044e-11
19,WTI CRUDE,WHEAT,-5.926947819924873e-11
19,WTI CRUDE,SOYBEANS,8.993989613875599e-11
19,WTI CRUDE,COPPER,7.378534405478483e-11
19,WTI CRUDE,SILVER,-5.252441576874479e-11
20,WTI CRUDE,WTI CRUDE,8.707171902502658e-11
20,WTI CRUDE,NATURAL GAS,-1.611103418497728e-10
20,WTI CRUDE,GOLD,-3.501315783980214e-12
20,WTI CRUDE,CORN,3.4328180840368995e-11
20,WTI CRUDE,WHEAT,8.103873980049438e-11
20,WTI CRUDE,SOYBEANS,6.467060103336287e-11
20,WTI CRUDE,COPPER,-2.8329768566297854e-11
20,WTI CRUDE,SILVER,6.494972501941182e-11
